NAME,YEAR,LAT,LONG,POP
Beijing,1800,40.19,116.41,"1,100,000"
Beijing,1875,40.19,116.41,"1,310,000"
Berlin,1875,40.19,116.41,"1,045,000"
Buenos Aires,1950,-34.61,-58.39,"5,166,140"
Buenos Aires,1960,-34.61,-58.39,"6,761,837"
Buenos Aires,1970,-34.61,-58.39,"8,416,170"
Buenos Aires,1980,-34.61,-58.39,"9,919,781"
Buenos Aires,1990,-34.61,-58.39,"11,147,566"
Cairo,2000,30.04,31.24,"13,625,565"
Cairo,2025,30.04,31.24,"25,566,102"
Chicago,1950,41.88,-87.62,"4,999,000"
Chicago,1960,41.88,-87.62,"6,183,000"
Delhi,2000,28.61,77.21,"15,691,899"
Delhi,2025,28.61,77.21,"30,222,405"
Dhaka,2025,23.76,90.39,"36,585,479"
Guangzhou,1800,23.13,113.26,"800,000"
Guangzhou,1875,23.13,113.26,"944,000"
Guangzhou,2025,23.13,113.26,"27,563,372"
Hangzhou,1800,30.25,120.21,"387,000"
Istanbul,1800,41,28.98,"570,000"
Istanbul,1875,41,28.98,"827,750"
Jakarta,2025,-6.18,106.83,"41,913,860"
Kolkata,1950,22.57,88.37,"4,604,143"
Kolkata,1970,22.57,88.37,"7,329,372"
Kolkata,1980,22.57,88.37,"9,100,166"
Kolkata,1990,22.57,88.37,"10,974,177"
Kolkata,2000,22.57,88.37,"13,097,153"
Kolkata,2025,22.57,88.37,"22,549,738"
Kyoto,1800,35.01,135.79,"377,000"
London,1800,51.51,-0.13,"865,000"
London,1875,51.51,-0.13,"4,241,000"
London,1950,51.51,-0.13,"8,361,000"
London,1960,51.51,-0.13,"8,196,000"
London,1970,51.51,-0.13,"7,509,000"
Los Angeles,1960,34.05,-118.24,"6,529,638"
Los Angeles,1970,34.05,-118.24,"8,377,684"
Los Angeles,1980,34.05,-118.24,"9,511,568"
Los Angeles,1990,34.05,-118.24,"10,883,429"
Manila,2025,14.59,120.98,"24,735,305"
Mexico City,1970,19.32,-99.15,"8,830,947"
Mexico City,1980,19.32,-99.15,"13,027,620"
Mexico City,1990,19.32,-99.15,"15,642,318"
Mexico City,2000,19.32,-99.15,"18,457,028"
Moscow,1950,55.63,37.61,"5,356,392"
Moscow,1960,55.63,37.61,"6,169,961"
Mumbai,1980,19.05,72.87,"9,199,543"
Mumbai,1990,19.05,72.87,"12,355,090"
Mumbai,2000,19.05,72.87,"16,146,526"
Naples,1800,40.84,14.25,"427,000"
New York City,1875,40.42,-74,"1,900,000"
New York City,1950,40.42,-74,"12,338,471"
New York City,1960,40.42,-74,"14,163,521"
New York City,1970,40.42,-74,"16,191,179"
New York City,1980,40.42,-74,"15,601,401"
New York City,1990,40.42,-74,"16,085,600"
New York City,2000,40.42,-74,"17,813,372"
Osaka,1800,34.69,135.5,"383,000"
Osaka,1950,34.69,135.5,"7,005,284"
Osaka,1960,34.69,135.5,"10,614,841"
Osaka,1970,34.69,135.5,"15,271,510"
Osaka,1980,34.69,135.5,"17,027,548"
Osaka,1990,34.69,135.5,"18,388,782"
Osaka,2000,34.69,135.5,"18,660,022"
Paris,1800,48.86,2.32,"581,000"
Paris,1875,48.86,2.32,"2,250,000"
Paris,1950,48.86,2.32,"6,283,018"
Paris,1960,48.86,2.32,"7,410,735"
Paris,1970,48.86,2.32,"8,208,121"
Philadelphia,1875,39.95,-75.16,"791,000"
Rio de Janeiro,1980,-22.91,-43.21,"8,783,870"
Sao Paulo,1970,-23.55,-46.63,"7,620,490"
Sao Paulo,1980,-23.55,-46.63,"12,089,454"
Sao Paulo,1990,-23.55,-46.63,"14,775,840"
Sao Paulo,2000,-23.55,-46.63,"17,014,078"
Seoul,1990,37.56,126.98,"10,518,000"
Seoul,2025,37.56,126.98,"22,490,482"
Shanghai,1950,31.23,121.47,"4,288,091"
Shanghai,1960,31.23,121.47,"6,865,312"
Shanghai,2000,31.23,121.47,"14,246,541"
Shanghai,2025,31.23,121.47,"29,558,908"
Tokyo,1800,35.68,139.76,"685,000"
Tokyo,1875,35.68,139.76,"780,000"
Tokyo,1950,35.68,139.76,"11,274,641"
Tokyo,1960,35.68,139.76,"16,678,822"
Tokyo,1970,35.68,139.76,"23,297,502"
Tokyo,1980,35.68,139.76,"28,548,512"
Tokyo,1990,35.68,139.76,"32,530,002"
Tokyo,2000,35.68,139.76,"34,449,908"
Tokyo,2025,35.68,139.76,"33,412,512"
Vienna,1875,48.21,16.37,"1,020,770"
